"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0066 0.0066
0.00020 0.0066 0.0066
0.00030 0.0066 0.0066
0.00040 0.0054 0.0054
0.00050 0.0066 0.0066
0.00060 0.0066 0.0066
0.00070 0.0060 0.0060
0.00080 0.0060 0.0060
0.00090 0.0066 0.0066
0.00100 0.0066 0.0066
0.00109 0.0072 0.0072
0.00119 0.0090 0.0090
0.00129 0.0078 0.0078
0.00139 0.0090 0.0090
0.00149 0.0096 0.0096
0.00159 0.0090 0.0090
0.00169 0.0096 0.0096
0.00179 0.0090 0.0090
0.00189 0.0102 0.0102
0.00199 0.0090 0.0090
0.00209 0.0096 0.0096
0.00219 0.0090 0.0090
0.00229 0.0096 0.0096
0.00239 0.0090 0.0090
0.00249 0.0090 0.0090
0.00259 0.0102 0.0102
0.00269 0.0096 0.0096
0.00279 0.0090 0.0090
0.00289 0.0090 0.0090
0.00299 0.0108 0.0108
0.00309 0.0102 0.0102
0.00319 0.0108 0.0108
0.00328 0.0108 0.0108
0.00338 0.0102 0.0102
0.00348 0.0108 0.0108
0.00358 0.0108 0.0108
0.00368 0.0108 0.0108
0.00378 0.0102 0.0102
0.00388 0.0108 0.0108
0.00398 0.0108 0.0108
0.00408 0.0102 0.0102
0.00418 0.0102 0.0102
0.00428 0.0114 0.0114
0.00438 0.0096 0.0096
0.00448 0.0114 0.0114
0.00458 0.0096 0.0096
0.00468 0.0120 0.0120
0.00478 0.0096 0.0096
0.00488 0.0114 0.0114
0.00498 0.0096 0.0096
0.00508 0.0114 0.0114
0.00518 0.0102 0.0102
0.00528 0.0114 0.0114
0.00538 0.0096 0.0096
0.00547 0.0114 0.0114
0.00557 0.0114 0.0114
0.00567 0.0132 0.0132
0.00577 0.0132 0.0132
0.00587 0.0132 0.0132
0.00597 0.0126 0.0126
0.00607 0.0132 0.0132
0.00617 0.0132 0.0132
0.00627 0.0132 0.0132
0.00637 0.0132 0.0132
0.00647 0.0126 0.0126
0.00657 0.0132 0.0132
0.00667 0.0150 0.0150
0.00677 0.0138 0.0138
0.00687 0.0144 0.0144
0.00697 0.0150 0.0150
0.00707 0.0138 0.0138
0.00717 0.0144 0.0144
0.00727 0.0144 0.0144
0.00737 0.0144 0.0144
0.00747 0.0150 0.0150
0.00757 0.0138 0.0138
0.00766 0.0144 0.0144
0.00776 0.0138 0.0138
0.00786 0.0150 0.0150
0.00796 0.0144 0.0144
0.00806 0.0150 0.0150
0.00816 0.0138 0.0138
0.00826 0.0150 0.0150
0.00836 0.0138 0.0138
0.00846 0.0144 0.0144
0.00856 0.0150 0.0150
0.00866 0.0138 0.0138
0.00876 0.0144 0.0144
0.00886 0.0144 0.0144
0.00896 0.0144 0.0144
0.00906 0.0150 0.0150
0.00916 0.0138 0.0138
0.00926 0.0144 0.0144
0.00936 0.0150 0.0150
0.00946 0.0138 0.0138
0.00956 0.0144 0.0144
0.00966 0.0144 0.0144
0.00976 0.0144 0.0144
0.00985 0.0150 0.0150
0.00995 0.0144 0.0144
0.01005 0.0138 0.0138
0.01015 0.0138 0.0138
0.01025 0.0150 0.0150
0.01035 0.0144 0.0144
0.01045 0.0150 0.0150
0.01055 0.0138 0.0138
0.01065 0.0138 0.0138
0.01075 0.0150 0.0150
0.01085 0.0144 0.0144
0.01095 0.0150 0.0150
0.01105 0.0144 0.0144
0.01115 0.0132 0.0132
0.01125 0.0150 0.0150
0.01135 0.0144 0.0144
0.01145 0.0150 0.0150
0.01155 0.0144 0.0144
0.01165 0.0138 0.0138
0.01175 0.0138 0.0138
0.01185 0.0150 0.0150
0.01195 0.0144 0.0144
0.01204 0.0150 0.0150
0.01214 0.0138 0.0138
0.01224 0.0138 0.0138
0.01234 0.0150 0.0150
0.01244 0.0144 0.0144
0.01254 0.0150 0.0150
0.01264 0.0138 0.0138
0.01274 0.0138 0.0138
0.01284 0.0150 0.0150
0.01294 0.0144 0.0144
0.01304 0.0150 0.0150
0.01314 0.0144 0.0144
0.01324 0.0132 0.0132
0.01334 0.0144 0.0144
0.01344 0.0150 0.0150
0.01354 0.0144 0.0144
0.01364 0.0150 0.0150
0.01374 0.0138 0.0138
0.01384 0.0138 0.0138
0.01394 0.0150 0.0150
0.01404 0.0144 0.0144
0.01414 0.0150 0.0150
0.01423 0.0138 0.0138
0.01433 0.0138 0.0138
0.01443 0.0150 0.0150
0.01453 0.0144 0.0144
0.01463 0.0150 0.0150
0.01473 0.0144 0.0144
0.01483 0.0150 0.0150
0.01493 0.0150 0.0150
0.01503 0.0156 0.0156
0.01513 0.0150 0.0150
0.01523 0.0144 0.0144
0.01533 0.0150 0.0150
0.01543 0.0144 0.0144
0.01553 0.0150 0.0150
0.01563 0.0162 0.0162
0.01573 0.0162 0.0162
0.01583 0.0168 0.0168
0.01593 0.0180 0.0180
0.01603 0.0192 0.0192
0.01613 0.0216 0.0216
0.01623 0.0192 0.0192
0.01633 0.0204 0.0204
0.01642 0.0204 0.0204
0.01652 0.0216 0.0216
0.01662 0.0198 0.0198
0.01672 0.0210 0.0210
0.01682 0.0204 0.0204
0.01692 0.0204 0.0204
0.01702 0.0198 0.0198
0.01712 0.0210 0.0210
0.01722 0.0204 0.0204
0.01732 0.0204 0.0204
0.01742 0.0204 0.0204
0.01752 0.0216 0.0216
0.01762 0.0204 0.0204
0.01772 0.0210 0.0210
0.01782 0.0210 0.0210
0.01792 0.0216 0.0216
0.01802 0.0204 0.0204
0.01812 0.0222 0.0222
0.01822 0.0216 0.0216
0.01832 0.0216 0.0216
0.01842 0.0222 0.0222
0.01852 0.0210 0.0210
0.01861 0.0222 0.0222
0.01871 0.0222 0.0222
0.01881 0.0228 0.0228
0.01891 0.0216 0.0216
0.01901 0.0234 0.0234
0.01911 0.0216 0.0216
0.01921 0.0228 0.0228
0.01931 0.0234 0.0234
0.01941 0.0228 0.0228
0.01951 0.0228 0.0228
0.01961 0.0228 0.0228
0.01971 0.0234 0.0234
0.01981 0.0234 0.0234
0.01991 0.0216 0.0216
0.02001 0.0240 0.0240
0.02011 0.0234 0.0234
0.02021 0.0228 0.0228
0.02031 0.0234 0.0234
0.02041 0.0216 0.0216
0.02051 0.0240 0.0240
0.02061 0.0228 0.0228
0.02071 0.0228 0.0228
0.02080 0.0228 0.0228
0.02090 0.0228 0.0228
0.02100 0.0228 0.0228
0.02110 0.0234 0.0234
0.02120 0.0234 0.0234
0.02130 0.0222 0.0222
0.02140 0.0228 0.0228
0.02150 0.0234 0.0234
0.02160 0.0234 0.0234
0.02170 0.0234 0.0234
0.02180 0.0228 0.0228
0.02190 0.0222 0.0222
0.02200 0.0234 0.0234
0.02210 0.0234 0.0234
0.02220 0.0228 0.0228
0.02230 0.0228 0.0228
0.02240 0.0228 0.0228
0.02250 0.0228 0.0228
0.02260 0.0228 0.0228
0.02270 0.0228 0.0228
0.02280 0.0234 0.0234
0.02290 0.0228 0.0228
0.02299 0.0228 0.0228
0.02309 0.0234 0.0234
0.02319 0.0240 0.0240
0.02329 0.0210 0.0210
0.02339 0.0245 0.0245
0.02349 0.0228 0.0228
0.02359 0.0222 0.0222
0.02369 0.0234 0.0234
0.02379 0.0234 0.0234
0.02389 0.0228 0.0228
0.02399 0.0228 0.0228
0.02409 0.0228 0.0228
0.02419 0.0228 0.0228
0.02429 0.0228 0.0228
0.02439 0.0240 0.0240
0.02449 0.0216 0.0216
0.02459 0.0234 0.0234
0.02469 0.0234 0.0234
0.02479 0.0228 0.0228
0.02489 0.0240 0.0240
0.02499 0.0228 0.0228
0.02509 0.0222 0.0222
0.02518 0.0234 0.0234
0.02528 0.0228 0.0228
0.02538 0.0228 0.0228
0.02548 0.0228 0.0228
0.02558 0.0234 0.0234
0.02568 0.0228 0.0228
0.02578 0.0228 0.0228
0.02588 0.0228 0.0228
0.02598 0.0228 0.0228
0.02608 0.0228 0.0228
0.02618 0.0240 0.0240
0.02628 0.0216 0.0216
0.02638 0.0240 0.0240
0.02648 0.0228 0.0228
0.02658 0.0228 0.0228
0.02668 0.0240 0.0240
0.02678 0.0228 0.0228
0.02688 0.0228 0.0228
0.02698 0.0222 0.0222
0.02708 0.0234 0.0234
0.02718 0.0228 0.0228
0.02728 0.0228 0.0228
0.02737 0.0234 0.0234
0.02747 0.0228 0.0228
0.02757 0.0228 0.0228
0.02767 0.0228 0.0228
0.02777 0.0234 0.0234
0.02787 0.0234 0.0234
0.02797 0.0228 0.0228
0.02807 0.0228 0.0228
0.02817 0.0228 0.0228
0.02827 0.0234 0.0234
0.02837 0.0234 0.0234
0.02847 0.0228 0.0228
0.02857 0.0216 0.0216
0.02867 0.0240 0.0240
0.02877 0.0228 0.0228
0.02887 0.0228 0.0228
0.02897 0.0228 0.0228
0.02907 0.0228 0.0228
0.02917 0.0234 0.0234
0.02927 0.0228 0.0228
0.02937 0.0234 0.0234
0.02947 0.0228 0.0228
0.02956 0.0240 0.0240
0.02966 0.0228 0.0228
0.02976 0.0222 0.0222
0.02986 0.0234 0.0234
0.02996 0.0228 0.0228
0.03006 0.0228 0.0228
0.03016 0.0234 0.0234
0.03026 0.0228 0.0228
0.03036 0.0228 0.0228
0.03046 0.0228 0.0228
0.03056 0.0228 0.0228
0.03066 0.0228 0.0228
0.03076 0.0228 0.0228
0.03086 0.0240 0.0240
0.03096 0.0222 0.0222
0.03106 0.0234 0.0234
0.03116 0.0228 0.0228
0.03126 0.0228 0.0228
0.03136 0.0240 0.0240
0.03146 0.0228 0.0228
0.03156 0.0228 0.0228
0.03166 0.0245 0.0245
0.03175 0.0228 0.0228
0.03185 0.0245 0.0245
0.03195 0.0245 0.0245
0.03205 0.0234 0.0234
0.03215 0.0251 0.0251
0.03225 0.0245 0.0245
0.03235 0.0269 0.0269
0.03245 0.0251 0.0251
0.03255 0.0281 0.0281
0.03265 0.0275 0.0275
0.03275 0.0275 0.0275
0.03285 0.0281 0.0281
0.03295 0.0281 0.0281
0.03305 0.0287 0.0287
0.03315 0.0287 0.0287
0.03325 0.0281 0.0281
